tick,lastPrice,best_ValueInvestor,worst_ValueInvestor,avg_ValueInvestor,best_TrendFollower,worst_TrendFollower,avg_TrendFollower,best_StopLoss,worst_StopLoss,avg_StopLoss,best_MarketMaker,worst_MarketMaker,avg_MarketMaker,best_Noise,worst_Noise,avg_Noise
0,4.83954,539.946,524.198,525.311,525.302,524.198,524.209,524.198,524.198,524.198,528.445,524.198,524.314,529.891,479.79,522.957
1,4.93938,538.947,524.697,526.084,528.286,524.697,524.851,525.594,524.697,524.724,528.908,524.697,525.049,529.891,484.183,522.776
2,4.97161,538.625,524.858,526.479,528.318,524.858,525.027,525.723,524.858,524.884,528.908,524.858,525.311,529.891,485.601,522.588
3,5.16625,536.679,525.831,527.386,528.513,525.831,525.961,526.502,525.831,525.851,529.305,525.831,526.341,529.891,489.08,523.616
4,4.73495,540.992,523.675,526.626,528.081,523.675,523.891,524.776,523.675,523.708,530.364,523.675,524.791,533.192,421.93,519.358
5,4.56205,542.721,522.81,526.202,527.909,522.81,523.072,528.42,522.81,523.217,530.364,522.81,524.293,533.192,450.997,517.266
6,4.84637,539.877,524.232,526.899,528.193,524.232,524.494,528.42,524.232,524.841,530.364,524.232,525.417,533.192,453.941,519.509
7,4.87594,539.582,524.38,526.978,528.222,524.38,524.67,528.42,524.38,525.018,530.364,524.38,525.533,533.192,456.458,519.699
8,5.12891,537.052,525.645,527.602,528.475,525.645,525.859,528.474,525.645,526.102,530.364,525.645,526.485,533.192,474.419,522.175
9,5.13907,536.95,525.695,527.676,528.486,525.695,525.916,528.474,525.695,526.143,530.44,525.695,526.655,536.133,466.033,522.088
10,5.11824,537.159,525.591,527.674,528.465,525.591,525.82,528.474,525.591,526.059,530.44,525.591,526.628,542.648,462.859,521.776
11,4.99654,538.376,524.983,527.432,528.343,524.983,525.257,528.474,524.983,525.568,530.44,524.983,526.331,542.648,453.123,520.324
12,5.16149,536.726,525.807,527.81,528.508,525.807,526.027,528.474,525.807,526.233,530.44,525.807,526.907,542.648,466.319,522.06
13,5.2205,536.136,526.102,527.975,528.567,526.102,526.299,528.474,526.102,526.471,530.44,526.102,527.116,558.458,469.386,522.652
14,5.32671,535.074,526.634,528.221,528.673,526.634,526.789,528.474,526.634,526.899,530.44,526.634,527.466,558.458,479.537,523.793
15,5.26463,535.695,526.323,528.124,528.611,526.323,526.503,528.474,526.323,526.649,530.44,526.323,527.324,558.458,474.14,523.016
16,5.14999,536.841,525.75,527.882,528.496,525.75,525.974,528.474,525.75,526.187,530.44,525.75,526.973,558.458,463.937,521.734
17,5.36118,534.729,526.806,528.344,528.749,526.806,526.955,528.474,526.806,527.038,530.44,526.806,527.661,558.458,482.294,524.031
18,5.36166,534.724,526.808,528.389,528.749,526.808,526.958,528.474,526.808,527.04,530.44,526.808,527.67,558.458,482.332,523.985
19,5.40298,534.311,527.015,528.525,528.791,527.015,527.148,528.474,527.015,527.206,531.81,527.015,527.851,558.458,485.639,524.345
20,5.28574,535.484,526.429,528.338,528.673,526.429,526.608,528.474,526.429,526.734,531.81,526.429,527.493,558.458,455.431,522.971
21,5.33068,535.034,526.653,528.449,528.718,526.653,526.815,528.474,526.653,526.915,531.81,526.653,527.692,558.458,459.116,523.396
22,5.16719,536.669,525.836,528.13,528.555,525.836,526.063,528.474,525.836,526.256,531.81,525.836,527.362,558.458,445.71,521.369
23,5.21031,536.238,526.052,528.216,528.598,526.052,526.261,528.474,526.052,526.43,531.81,526.052,527.552,558.458,449.246,521.798
24,5.16013,536.74,525.801,528.115,528.548,525.801,526.031,528.474,525.801,526.228,531.81,525.801,527.409,558.458,445.131,521.221
25,5.22921,536.049,526.146,528.254,528.617,526.146,526.348,528.474,526.146,526.506,531.81,526.146,527.615,558.458,450.795,522.007
26,5.39536,534.387,526.977,528.588,528.783,526.977,527.113,528.474,526.977,527.176,531.81,526.977,528.096,558.458,464.42,523.912
27,5.54372,532.904,527.719,528.902,528.931,527.681,527.795,528.474,527.428,527.773,531.81,527.275,528.517,558.458,476.585,525.606
28,5.62172,532.124,528.109,529.083,529.009,527.928,528.154,528.474,527.428,528.088,531.81,527.275,528.738,558.458,482.981,526.48
29,5.65712,531.814,528.286,529.182,529.045,528.035,528.317,528.474,527.428,528.23,531.81,527.275,528.839,558.458,485.884,526.86
30,5.79399,532.227,528.97,529.477,529.182,528.445,528.946,528.97,527.428,528.782,532.994,527.275,529.276,558.458,497.107,528.368
31,5.69356,532.227,528.468,529.338,529.081,528.144,528.484,528.474,527.428,528.377,532.994,527.275,529.006,558.458,488.872,527.133
32,5.82758,532.907,529.097,529.621,529.263,528.546,529.101,529.138,527.428,528.917,532.994,527.275,529.396,564.14,499.861,528.655
33,5.75257,533.038,528.763,529.528,529.14,528.321,528.756,528.763,527.428,528.615,532.994,527.275,529.19,563.915,493.058,527.725
34,5.64607,533.038,528.23,529.355,529.034,528.001,528.266,528.474,527.428,528.186,532.994,527.275,528.909,567.075,484.978,526.436
35,5.63375,533.038,528.169,529.334,530.122,527.964,528.231,528.474,527.428,528.136,533.673,527.275,528.941,567.075,485.068,526.202
36,5.68761,533.038,528.438,529.427,530.485,528.126,528.505,528.474,527.428,528.353,533.673,527.275,529.094,567.075,489.431,526.811
37,5.52518,533.66,527.626,529.158,531.557,527.607,527.778,528.474,527.428,527.699,533.797,527.275,528.735,567.075,476.274,524.76
38,5.26689,535.672,526.334,528.714,531.557,526.334,526.618,529.147,526.334,526.683,533.797,526.334,528.06,567.075,455.353,521.598
39,4.94146,538.926,524.707,528.154,531.557,524.707,525.157,529.147,524.707,525.57,533.797,524.707,527.211,567.075,428.993,517.445
40,4.7708,540.633,523.854,527.861,531.557,523.854,524.397,529.147,523.854,525.255,533.797,523.854,526.766,567.075,415.169,514.992
41,4.51562,543.185,522.578,527.422,531.557,522.578,523.317,529.147,522.578,524.861,533.797,522.578,526.1,567.075,394.5,511.192
42,4.60242,542.317,523.012,527.571,531.557,523.012,523.876,529.147,523.012,525.412,533.797,523.012,526.326,552.875,401.531,511.875
43,4.35632,544.778,521.782,527.148,531.729,521.782,522.857,529.147,521.782,525.139,533.797,521.782,525.684,556.619,381.596,508.081
44,4.20483,546.293,521.024,526.887,532.638,521.024,522.266,529.147,521.024,525.062,533.797,521.024,525.288,556.619,369.326,505.618
45,4.1402,546.939,520.701,526.776,533.026,520.701,522.088,529.147,520.701,525.133,533.797,520.701,525.12,556.619,364.091,504.389
46,4.16788,546.662,520.839,526.824,532.86,520.839,522.346,529.147,520.839,525.313,533.797,520.839,525.192,556.619,366.333,504.522
47,4.0244,548.097,520.122,526.577,533.721,520.122,521.824,529.147,520.122,525.123,533.797,520.122,524.817,556.619,354.711,502.269
48,3.81079,550.233,519.054,526.209,535.002,519.054,521.04,529.147,519.054,524.848,533.797,519.054,524.26,556.91,337.409,498.912
49,3.74616,550.879,518.731,526.098,535.39,518.731,520.846,529.147,518.731,524.763,533.797,518.731,524.091,556.716,332.174,497.855
50,3.76434,550.698,518.822,526.129,535.281,518.822,520.975,529.147,518.822,524.801,533.797,518.822,524.139,556.77,333.646,498.065
51,3.79385,550.402,518.969,526.18,535.104,518.969,521.097,529.147,518.969,524.853,533.797,518.969,524.216,556.859,336.037,498.5
52,3.68649,551.476,518.432,525.996,535.748,518.432,520.714,529.147,518.432,524.696,533.797,518.432,523.936,556.619,327.34,496.821
53,3.71373,551.204,518.569,526.042,535.585,518.569,520.824,529.147,518.569,524.749,533.797,518.569,524.06,556.619,329.547,497.168
54,3.66306,551.71,518.315,525.955,535.889,518.315,520.639,529.147,518.315,524.672,533.797,518.315,523.931,556.619,325.442,496.38
55,3.66422,551.699,518.321,525.957,535.882,518.321,520.643,529.147,518.321,524.673,533.797,518.321,523.934,556.619,325.537,496.398
56,3.52089,553.132,517.604,525.711,536.742,517.604,520.122,529.147,517.604,524.454,533.797,517.604,523.567,556.619,313.908,494.169
57,3.38282,554.513,516.914,525.473,537.57,516.914,519.619,529.147,516.914,524.243,533.797,516.914,523.225,556.619,301.344,492.01
58,3.32393,555.102,516.62,525.372,537.924,516.62,519.405,529.147,516.62,524.153,533.797,516.62,523.202,558.924,295.985,490.967
59,3.27997,555.541,516.4,525.296,538.187,516.4,519.245,529.147,516.4,524.108,533.797,516.4,523.095,558.924,291.985,490.255
60,3.2932,555.409,516.466,525.319,538.108,516.466,519.304,529.147,516.466,524.15,533.797,516.466,523.137,558.924,293.189,490.42
61,3.08655,557.476,515.433,524.964,539.348,515.433,518.554,529.147,515.433,523.866,533.797,515.433,522.647,558.924,274.383,487.133
62,3.20155,556.325,516.008,525.161,538.658,516.008,518.971,529.147,516.008,524.054,533.797,516.008,522.945,558.924,284.849,488.907
63,3.31354,555.206,516.568,525.354,537.986,516.568,519.378,529.147,516.568,524.224,533.797,516.568,523.213,558.924,295.04,490.669
64,3.21238,556.217,516.062,525.18,538.593,516.062,519.011,529.147,516.062,524.078,533.797,516.062,522.971,558.924,285.834,489.07
65,3.26047,555.736,516.302,525.263,538.304,516.302,519.185,529.147,516.302,524.148,533.797,516.302,523.086,558.924,292.833,489.83
66,3.27762,555.565,516.388,525.292,538.201,516.388,519.247,529.147,516.388,524.172,533.797,516.388,523.127,558.924,286.82,490.101
67,3.16227,556.718,515.811,525.094,538.894,515.811,518.829,529.147,515.811,524.006,533.797,515.811,522.85,558.924,277.488,488.278
68,3.10424,557.299,515.521,524.994,539.242,515.521,518.618,529.147,515.521,523.923,533.797,515.521,522.711,558.924,272.381,487.36
69,3.07046,557.636,515.352,524.936,539.444,515.352,518.495,529.147,515.352,523.874,533.797,515.352,522.63,558.924,269.408,486.826
70,2.9102,559.239,514.551,524.66,540.406,514.551,517.914,529.147,514.551,523.643,533.797,514.551,522.245,558.924,255.305,484.293
71,2.9138,559.203,514.569,524.667,540.384,514.569,517.937,529.147,514.569,523.648,533.797,514.569,522.254,558.924,255.622,484.339
72,2.9944,558.397,514.972,524.805,539.901,514.972,518.229,529.147,514.972,523.764,533.797,514.972,522.447,558.924,262.715,485.614
73,2.91237,559.217,514.562,524.664,540.393,514.562,517.932,529.147,514.562,523.646,533.797,514.562,522.251,558.924,255.496,484.316
74,2.99491,558.392,514.975,524.806,539.898,514.975,518.231,529.147,514.975,523.765,533.797,514.975,522.531,558.924,262.76,485.54
75,2.96962,558.645,514.848,524.763,540.049,514.848,518.139,529.147,514.848,523.729,533.797,514.848,522.472,558.924,260.534,485.138
76,3.04895,557.851,515.245,524.899,539.573,515.245,518.426,529.147,515.245,523.843,533.797,515.245,522.656,558.924,267.515,486.399
